Company Name,Industry,Symbol,Series,ISIN Code,File Location
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/ADANIPORTS.csv
Asian Paints Ltd.,FMCG,ASIANPAINT,EQ,INE021A01026,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/ASIANPAINT.csv
Axis Bank Ltd.,BANK,AXISBANK,EQ,INE238A01034,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/AXISBANK.csv
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/BAJAJ-AUTO.csv
Bajaj Finserv Ltd.,BANK,BAJAJFINSV,EQ,INE918I01018,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/BAJAJFINSV.csv
Bajaj Finance Ltd.,BANK,BAJFINANCE,EQ,INE296A01024,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/BAJFINANCE.csv
Bharti Airtel Ltd.,IT,BHARTIARTL,EQ,INE397D01024,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/BHARTIARTL.csv
Bharat Petroleum Corporation Ltd.,METALS & ENERGY,BPCL,EQ,INE029A01011,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/BPCL.csv
Britannia Industries Ltd.,FMCG,BRITANNIA,EQ,INE216A01030,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/BRITANNIA.csv
Cipla Ltd.,PHARMA,CIPLA,EQ,INE059A01026,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/CIPLA.csv
Coal India Ltd.,METALS & ENERGY,COALINDIA,EQ,INE522F01014,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/COALINDIA.csv
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,EQ,INE089A01023,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/DRREDDY.csv
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,EQ,INE066A01013,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/EICHERMOT.csv
GAIL (India) Ltd.,METALS & ENERGY,GAIL,EQ,INE129A01019,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/GAIL.csv
Grasim Industries Ltd.,METALS & ENERGY,GRASIM,EQ,INE047A01021,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/GRASIM.csv
HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/HCLTECH.csv
Housing Development Finance Corporation Ltd.,BANK,HDFC,EQ,INE001A01036,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/HDFC.csv
HDFC Bank Ltd.,BANK,HDFCBANK,EQ,INE040A01034,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/HDFCBANK.csv
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,EQ,INE158A01026,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/HEROMOTOCO.csv
Hindalco Industries Ltd.,METALS & ENERGY,HINDALCO,EQ,INE038A01020,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/HINDALCO.csv
Hindustan Unilever Ltd.,FMCG,HINDUNILVR,EQ,INE030A01027,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/HINDUNILVR.csv
ICICI Bank Ltd.,BANK,ICICIBANK,EQ,INE090A01021,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/ICICIBANK.csv
IndusInd Bank Ltd.,BANK,INDUSINDBK,EQ,INE095A01012,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/INDUSINDBK.csv
Bharti Infratel Ltd.,IT,INFRATEL,EQ,INE121J01017,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/INFRATEL.csv
Infosys Ltd.,IT,INFY,EQ,INE009A01021,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/INFY.csv
Indian Oil Corporation Ltd.,METALS & ENERGY,IOC,EQ,INE242A01010,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/IOC.csv
ITC Ltd.,FMCG,ITC,EQ,INE154A01025,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/ITC.csv
JSW Steel Ltd.,METALS & ENERGY,JSWSTEEL,EQ,INE019A01038,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/JSWSTEEL.csv
Kotak Mahindra Bank Ltd.,BANK,KOTAKBANK,EQ,INE237A01028,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/KOTAKBANK.csv
Larsen & Toubro Ltd.,CONSTRUCTION,LT,EQ,INE018A01030,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/LT.csv
